number,title,group_name,subgroup_name
272,"Krzyż żąda ofiary","II. Droga Zbawienia","11. Poświęcenie"
273,"Oblicza Twego pragnąc","II. Droga Zbawienia","11. Poświęcenie"
274,"Mój wznoszę wzrok do niebios stron","II. Droga Zbawienia","11. Poświęcenie"
275,"Nie mogę, nie chcę żyć samemu sobie","II. Droga Zbawienia","11. Poświęcenie"
276,"Nie o szczęście","II. Droga Zbawienia","11. Poświęcenie"
277,"Oddałem Panu serce me","II. Droga Zbawienia","11. Poświęcenie"
278,"O jak błogo jest, gdy wola nasza","II. Droga Zbawienia","11. Poświęcenie"
279,"Ognisty miecz Cheruba","II. Droga Zbawienia","11. Poświęcenie"
280,"O Jezu, ja pragnę omyty być z plam","II. Droga Zbawienia","11. Poświęcenie"
281,"O Jezu, Twą jest sprawa ta","II. Droga Zbawienia","11. Poświęcenie"
282,"O, kiedy pragniesz, zbliż się","II. Droga Zbawienia","11. Poświęcenie"
283,"O, objaw się miły Jezu","II. Droga Zbawienia","11. Poświęcenie"
284,"O, strzeż mnie, Panie, w dzień i w noc","II. Droga Zbawienia","11. Poświęcenie"
285,"Pragniesz—li przekleństw swych grzechów się zbyć","II. Droga Zbawienia","11. Poświęcenie"
286,"Spojrzeniem przenikaj mnie Swym","II. Droga Zbawienia","11. Poświęcenie"
287,"Twa postać jasna staje","II. Droga Zbawienia","11. Poświęcenie"
288,"Ucisz mnie Panie, to prośbą jest mą","II. Droga Zbawienia","11. Poświęcenie"
289,"Ucz chodzić mnie z Bogiem","II. Droga Zbawienia","11. Poświęcenie"
290,"Umarłem ja i z Nim położon w grób","II. Droga Zbawienia","11. Poświęcenie"
291,"Wieść skryte z Bogiem życie","II. Droga Zbawienia","11. Poświęcenie"
292,"Panie, mną, Bo w Tobie wolność ma","II. Droga Zbawienia","11. Poświęcenie"
293,"Jak błogo zbawionym być","II. Droga Zbawienia","12. Pokój i radość"
294,"Błogiej radości nastąpił mi czas","II. Droga Zbawienia","12. Pokój i radość"
295,"Gdy Ciebie widzę, Jezu mój","II. Droga Zbawienia","12. Pokój i radość"
296,"Dziś jasność w duszy mojej lśni","II. Droga Zbawienia","12. Pokój i radość"
